4K|HD,#genre#
CCTV_4K,http://159.75.85.63:5681/sxg.php?id=ys4Kcq_2000#https://epg.pw/stream/d927980725ee233b8b989e637788d4f9551c5f841300d015a8afb274aaf80ab4.ctv#http://159.75.85.63:5679/cctv4k.php#http://bytedance.live.cqccn.com/__cl/cg:live/__c/CCTV4K/__op/default/__f//index.m3u8#https://epg.pw/stream/b44e4515b1326987d183c6ec4f8ef4247fb4d5cfd621442f6714c0bf46a40dc8.m3u8#http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTV4K/__op/default/__f//index.m3u8#http://159.75.85.63:5679/cctv4k.php#https://live.v1.mk/api/bestv.php?id=cctv4k/15000000#https://live.v1.mk/api/bestv.php?id=cctv4k/15000000/mnf.m3u8#https://live.v1.mk/api/bestv.php?id=cctv4k/15000000#http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV4K/__op/default/__f/index.m3u8#http://open.live-web.timetv.cn/live03/cctv4k.m3u8#http://liveop.cctv.cn/hls/4KHD/playlist.m3u8#http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd#http://159.75.85.63:5681/sxg.php?id=ys4Kcq_2000#http://74.119.193.113:8280/live/cctv8k/hls.m3u8
CCTV16_4K,https://live.v1.mk/aishang/cctv164k#http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV16_4K/__op/default/__f/index.m3u8#http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8#http://live.cooltv.top/tv/aishang.php?id=cctv164k#https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000#http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTV16_4K/__op/default/__f//index.m3u8#https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000/mnf.m3u8#http://159.75.85.63:5681/sxg.php?id=CCTV16-4K_8000
爱上4K,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8#https://live.v1.mk/aishang/as4k#http://113.62.253.22/live.aishang.ctlcdn.com/00000110240282_1/encoder/0/playlist.m3u8?CONTENTID=00000110240282_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225786/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225786/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8#http://3740480837.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=X7wAAPMizr_MF-gW&secondToken=secondToken%3A08GykFLGXy4k9xKOwtRpMVC8WOU&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1#http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8#http://3740480834.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=wIgAANH1UieYTeIW&secondToken=secondToken%3AlDV9er1_pa4JZ7B_HTFDHqOPHaI&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1#http://3740480837.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=VooAANf18QP9F-QW&secondToken=secondToken%3AMc0mRObNpYc8gL7T_KxOb7N02NI&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1#http://1972762443.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=TsoAAKTAB9juCfgW&secondToken=secondToken%3Aquo0xZnAeUUm47BcklXb7ffCum8&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1
广东综艺4K,http://159.75.85.63:8765/telegram@feiyangdigital-gdzy4k.m3u8
咪咕体育4K,http://117.136.156.66:80/000000001000/3000000010000005180/index.m3u8#http://117.136.156.71:80/000000001000/3000000010000005180/index.m3u8#http://117.136.156.35:80/000000001000/3000000010000005180/index.m3u8
北京IPTV_4K,http://221.179.217.76/PLTV/88888888/224/3221226550/1.m3u8
上海第一财经,https://live.v1.mk/api/bestv.php?id=dycjhd8m/8000000
上视新闻,https://live.v1.mk/api/bestv.php?id=xwzhhd8m/8000000#http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/xwzhhd/4000000/mnf.m3u8
上海都市,https://live.v1.mk/api/bestv.php?id=dshd8m/8000000#http://39.136.172.100/hlsmgsplive.miguvideo.com//wd_r4/dfl/yulehd/3000/index.m3u8?&encrypt=1#http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8#http://39.136.172.100/hlsmgsplive.miguvideo.com//wd_r4/dfl/yulehd/3000/index.m3u8?&encrypt=1#http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/dshd8m/8000000/mnf.m3u8#http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/ylpdhd/4000000/mnf.m3u8
上海纪实,https://live.v1.mk/api/bestv.php?id=jspdhd/4000000#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225655/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225609/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225654/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225654/index.m3u8#http://39.134.115.163:8080/TVOD/88888910/224/3221225655/index.m3u8#http://223.110.242.134:6610/cntv/live1/HD-8000k-1080P-shanghaijishi/1.m3u8
东方影视,https://live.v1.mk/api/bestv.php?id=dfyshd8m/8000000#http://39.136.172.100/hlsmgsplive.miguvideo.com/wd_r4/dfl/dianshijuhd/3000/index.m3u8?&encrypt=1#http://39.136.172.100/hlsmgsplive.miguvideo.com/wd_r4/dfl/dianshijuhd/3000/index.m3u8?&encrypt=1#http://140.207.241.2:8080/live/program/live/dsjpdhd/4000000/mnf.m3u8#http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8#http://112.25.48.70/live/program/live/dsjpdhd/4000000/mnf.m3u8#http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/dsjpdhd/4000000/mnf.m3u8#http://baidu.live.cqccn.com/__cl/cg:live/__c/yxfyHD/__op/default/__f//index.m3u8
五星体育,https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000#https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000#http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/wxtyhd8m/8000000/mnf.m3u8#http://223.109.53.48/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8#https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000#https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000#http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8#https://live.v1.mk/api/bestv.php?id=hxjc4k/15000000/mnf.m3u8
上视外语,https://live.v1.mk/api/bestv.php?id=icshd8m/8000000#http://39.136.172.2/hlsztemgsplive.miguvideo.com/wd_r4/dfl/waiyusd/600/index.m3u8?ProgramID=&encrypt=#http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/wypdhd/4000000/mnf.m3u8
